word,keyword,spiderId,originText,Relevance,Importance,Sentiment,Dimension,Reason
甜蜜,白糖罂荔枝,1,"白糖罂荔枝??甜蜜来袭
就像一阵风，夏季的荔枝风
是自由与欢喜，是充实和甜蜜！！
多少钱一斤
好想来摘荔枝！！！
我也想摘",10,8,9,口感,用户对荔枝的品尝口感有关注
口感,白糖罂荔枝,1,"白糖罂荔枝??甜蜜来袭
就像一阵风，夏季的荔枝风
是自由与欢喜，是充实和甜蜜！！
多少钱一斤
好想来摘荔枝！！！
我也想摘",10,8,9,口感,用户对荔枝的品尝口感有关注
多少钱,白糖罂荔枝,1,"白糖罂荔枝??甜蜜来袭
就像一阵风，夏季的荔枝风
是自由与欢喜，是充实和甜蜜！！
多少钱一斤
好想来摘荔枝！！！
我也想摘",9,9,6,价格,用户关注荔枝的售价
好想来,白糖罂荔枝,1,"白糖罂荔枝??甜蜜来袭
就像一阵风，夏季的荔枝风
是自由与欢喜，是充实和甜蜜！！
多少钱一斤
好想来摘荔枝！！！
我也想摘",8,7,8,采摘,用户想亲自摘荔枝
我也想,白糖罂荔枝,1,"白糖罂荔枝??甜蜜来袭
就像一阵风，夏季的荔枝风
是自由与欢喜，是充实和甜蜜！！
多少钱一斤
好想来摘荔枝！！！
我也想摘",8,7,8,采摘,用户想亲自摘荔枝
颜色鲜艳,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",8,7,8,颜值,果皮色泽鲜艳，纹路有点像龟壳
果皮光滑,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",8,7,8,颜值,果皮色泽鲜艳，纹路有点像龟壳
清甜多汁,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",9,9,9,口感,甜度逐渐加深，甜而不腻
甜而不腻,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",9,9,9,口感,甜度逐渐加深，甜而不腻
白糖罂口感好,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",7,6,7,品种选择,在同品级的果子中，白糖罂比妃子笑优秀
妃子笑酸涩,白糖罂荔枝,1,"姐妹们，开工了[吧唧R][吧唧R][吧唧R]
	
先给大家分享一款新上市的水果吧。
	
[种草R]白糖罂荔枝
	
[向右R]严格来说，这是第二批到货了，荔枝新上市了2个品种，白糖罂和妃子笑，同品级的果子，白糖罂在颜值口感方面都要优于妃子笑，所以这两个品种，我们一般主做白糖罂。
	
1??白糖罂介绍
白糖罂果子是很漂亮的，色泽鲜艳，果皮比较细腻平滑，纹路有点像龟壳??，皮很薄，很好拨，果肉厚实，如果挑缺点可能就是它的果核略大（比桂花香小点）。
	
2??白糖罂口感分享
	
??白糖罂也叫蜂糖罂，大家从名字就可以判断出，它是一款以甜出名的荔枝。
	
??之前桂花香上市的时候，有和大家分享过，今年的荔枝普遍比往年要甜，这批白糖罂我测的糖度17，入口的甜度感觉比17的桂花香要优秀。
	
??其实我个人觉着白糖罂Zui优秀的一点是，它的果肉入口的时候你只是觉着它是清甜的，但是随着你的咀嚼，你会发现它回味是越来越甜的，而且这种甜结合它细腻多汁的果肉，会让你感觉“甜而不齁”。
	
??在这一点上，妃子笑和它恰恰相反，妃子笑入口是甜的，回味你会感觉到酸涩感，这也是我更推荐大家白糖罂的原因。
	
??水果参",7,6,7,品种选择,在同品级的果子中，白糖罂比妃子笑优秀
